estrato24,cut_comuna_seleccion
1,15101
2,1101
3,1107
4,2101
5,2201
6,3101
7,4101
8,4102
9,4301
10,5101
11,5106
12,5108
13,5109
14,5501
15,5601
16,5701
17,6101
18,6301
19,7101
20,7301
21,7401
22,8101
23,8102
24,8103
25,8108
26,8110
27,8112
28,8301
29,8401
30,9101
31,10101
32,10301
33,14101
34,11101
35,12101
36,13101
37,13102
38,13103
39,13104
40,13105
41,13106
42,13107
43,13108
44,13109
45,13110
46,13111
47,13112
48,13113
49,13114
50,13115
51,13116
52,13117
53,13118
54,13119
55,13120
56,13121
57,13122
58,13123
59,13124
60,13125
61,13126
62,13127
63,13128
64,13129
65,13130
66,13131
67,13132
68,13201
69,13202
70,13203
71,13301
72,13302
73,13401
74,13402
75,13403
76,13404
77,13501
78,13503
79,13601
80,13602
81,13603
82,13604
83,13605
84,2301
85,3201
86,4106
87,4302
88,5103
89,5301
90,5505
91,5506
92,5706
93,6104
94,6117
95,6305
96,6310
97,7103
98,7403
99,7404
100,7406
101,8106
102,8107
103,8207
104,8304
105,8309
106,8411
107,9102
108,9201
109,9208
110,9210
111,10201
112,10209
113,10303
114,14202
115,11201
116,13303
