folio,en_2010,en_eval_2010,en_2012,en_eval_2012,en_2017,en_eval_2017,en_2024,en_eval_2024,n_rondas,patron_participacion,muestra_origen,sexo,sexo_consistente,muestra_2012,fexp_encP_2012,fexp_testP_2012,espanel_2017,fexp_hogP_2017,fexp_encP_2017,fexp_evaP_2017,fexp_encP_1217_2017,fexp_evaP_1217_2017,fexp_encP_1017_2017,fexp_evaP_1017_2017,f_exp_1024,f_exp_101224,f_exp_101724,f_exp_10121724
100011,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,54.381004333496094,65.98860931396484,1.0,74.88894653320312,74.88894653320312,91.19496154785156,74.88894653320312,83.27733612060547,74.43412017822266,84.39167785644531,72.00073351012377,83.3482946025193,77.27825463479115,86.48010697615416
100021,1,0,0,0,0,0,0,0,1,1000,original_2010,2.0,1,,,,,,,,,,,,,,,
100041,1,1,1,1,0,0,0,0,2,1100,original_2010,2.0,1,1.0,55.88779830932617,69.73853302001953,,,,,,,,,,,,
100051,1,1,1,1,0,0,1,1,3,1101,original_2010,1.0,1,1.0,54.02661895751953,69.73853302001953,,,,,,,,,72.81039577404107,,79.43458176032911,
100071,1,1,1,1,0,0,0,0,2,1100,original_2010,2.0,1,1.0,54.381004333496094,65.98860931396484,,,,,,,,,,,,
100081,1,1,0,0,1,1,1,1,3,1011,original_2010,1.0,1,,,,1.0,,,,,,81.1572036743164,97.23735809326172,83.68325072863662,108.86486430502968,,
100091,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,54.02661895751953,69.73853302001953,1.0,80.40089416503906,80.40089416503906,103.0165023803711,80.40089416503906,94.07251739501953,75.21158599853516,90.9689712524414,81.48561052503761,101.28430674426141,88.57313051799623,106.92914219195056
100111,1,1,1,1,0,0,0,0,2,1100,original_2010,2.0,1,1.0,62.3760871887207,76.5256576538086,,,,,,,,,,,,
100121,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,54.02661895751953,65.98860931396484,1.0,40.20044708251953,80.40089416503906,98.05950164794922,80.40089416503906,89.54589080810547,75.21158599853516,90.9689712524414,74.75072036670103,92.12024099378766,79.43458176032911,97.76528448435045
100131,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,62.3760871887207,76.5256576538086,1.0,92.27954864501953,92.27954864501953,109.08627319335938,92.27954864501953,99.61530303955078,84.6944808959961,100.99375915527344,88.2488728918923,117.0487606334151,101.42246974678093,130.34972732860913
100151,1,1,1,1,1,1,0,0,3,1110,original_2010,2.0,1,1.0,62.3760871887207,76.5256576538086,1.0,86.75398254394531,86.75398254394531,109.08627319335938,86.75398254394531,99.61530303955078,78.49915313720703,92.42459106445312,,,,
100161,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,56.4496955871582,71.59033966064453,1.0,43.376991271972656,86.75398254394531,109.08627319335938,86.75398254394531,99.61530303955078,78.49915313720703,92.42459106445312,100.98765574303275,114.63927540357166,109.01728996058299,125.58928824033715
100171,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,62.3760871887207,76.5256576538086,1.0,92.27954864501953,92.27954864501953,120.68601989746094,92.27954864501953,110.20795440673828,81.1572036743164,97.23735809326172,99.14524685583717,120.13249347831166,110.01427306531261,123.6150545883941
100191,1,0,1,0,0,0,0,0,2,1100,original_2010,2.0,1,1.0,54.02661895751953,,,,,,,,,,,,,
