folio,ronda,en_encuesta,en_evaluaciones,en_cuestionario_nino,sexo,edad_anios,edad_meses_eval,region,comuna,area,fexp_transversal_enc,fexp_transversal_eval
100011,2010,1,1,,2.0,4.0,52.0,15.0,,1.0,48.125,55.0
100011,2012,1,1,,2.0,6.0,77.0,15.0,,1.0,54.381004333496094,64.16666412353516
100011,2017,1,1,1.0,2.0,11.0,144.0,15.0,15101.0,,77.0,79.0
100011,2024,1,1,1.0,2.0,18.0,,15.0,15101.0,,79.05522088373205,79.05522088373205
100021,2010,1,0,,2.0,4.0,,15.0,,1.0,48.125,
100041,2010,1,1,,2.0,4.0,51.0,15.0,,1.0,48.125,55.0
100041,2012,1,1,,2.0,6.0,78.0,13.0,,1.0,55.88779830932617,64.16666412353516
100051,2010,1,1,,1.0,4.0,51.0,15.0,,1.0,48.125,55.0
100051,2012,1,1,,1.0,6.0,77.0,15.0,,1.0,54.02661895751953,64.16666412353516
100051,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,74.05615656353417,74.05615656353417
100071,2010,1,1,,2.0,4.0,51.0,15.0,,1.0,48.125,55.0
100071,2012,1,1,,2.0,6.0,78.0,15.0,,1.0,54.381004333496094,64.16666412353516
100081,2010,1,1,,1.0,4.0,51.0,15.0,,1.0,48.125,55.0
100081,2017,1,1,1.0,1.0,11.0,144.0,15.0,15101.0,,77.0,79.0
100081,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,79.17268374715349,79.17268374715349
100091,2010,1,1,,1.0,4.0,52.0,15.0,,1.0,48.125,55.0
100091,2012,1,1,,1.0,6.0,77.0,15.0,,1.0,54.02661895751953,64.16666412353516
100091,2017,1,1,1.0,1.0,12.0,146.0,15.0,15101.0,,77.0,79.0
100091,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,74.05615656353417,74.05615656353417
100111,2010,1,1,,2.0,4.0,52.0,15.0,,1.0,48.125,55.0
100111,2012,1,1,,2.0,6.0,78.0,15.0,,1.0,62.3760871887207,64.16666412353516
100121,2010,1,1,,1.0,4.0,51.0,15.0,,1.0,48.125,55.0
100121,2012,1,1,,1.0,6.0,77.0,15.0,,1.0,54.02661895751953,64.16666412353516
100121,2017,1,1,1.0,1.0,11.0,144.0,15.0,15101.0,,77.0,79.0
100121,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,69.49381847408713,69.49381847408713
100131,2010,1,1,,1.0,4.0,51.0,15.0,,1.0,48.125,55.0
100131,2012,1,1,,1.0,6.0,77.0,15.0,,1.0,62.3760871887207,64.16666412353516
100131,2017,1,1,1.0,1.0,11.0,143.0,15.0,15101.0,,77.0,79.0
100131,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,74.05615656353417,74.05615656353417
100151,2010,1,1,,2.0,4.0,51.0,15.0,,1.0,48.125,55.0
100151,2012,1,1,,2.0,6.0,79.0,15.0,,1.0,62.3760871887207,64.16666412353516
100151,2017,1,1,1.0,2.0,12.0,147.0,15.0,15101.0,,77.0,79.0
100161,2010,1,1,,1.0,4.0,50.0,15.0,,1.0,48.125,55.0
100161,2012,1,1,,1.0,6.0,77.0,15.0,,1.0,56.4496955871582,64.16666412353516
100161,2017,1,1,1.0,1.0,11.0,146.0,15.0,15101.0,,77.0,79.0
100161,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,78.97424281780872,78.97424281780872
100171,2010,1,1,,1.0,4.0,50.0,15.0,,1.0,48.125,55.0
100171,2012,1,1,,1.0,6.0,78.0,15.0,,1.0,62.3760871887207,64.16666412353516
100171,2017,1,1,1.0,1.0,11.0,143.0,15.0,15101.0,,77.0,79.0
100171,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,78.97424281780872,78.97424281780872
100191,2010,1,0,,2.0,4.0,,15.0,,1.0,48.125,
100191,2012,1,0,,2.0,6.0,,15.0,,1.0,54.02661895751953,
100211,2010,1,0,,1.0,4.0,,15.0,,1.0,48.125,
100211,2012,1,1,,1.0,6.0,77.0,15.0,,1.0,55.88779830932617,64.16666412353516
100211,2017,1,1,1.0,1.0,11.0,143.0,15.0,15101.0,,77.0,79.0
100211,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,71.55022527469818,71.55022527469818
100221,2010,1,1,,2.0,4.0,51.0,15.0,,1.0,48.125,55.0
100221,2012,1,1,,2.0,6.0,76.0,15.0,,1.0,54.02661895751953,64.16666412353516
100221,2017,1,1,1.0,2.0,12.0,147.0,15.0,15101.0,,77.0,79.0
100221,2024,1,1,1.0,2.0,18.0,,15.0,15101.0,,80.92640281651032,80.92640281651032
100231,2010,1,1,,1.0,4.0,50.0,15.0,,1.0,48.125,55.0
100231,2012,1,1,,1.0,6.0,77.0,15.0,,1.0,54.381004333496094,64.16666412353516
100231,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,75.73947639567879,75.73947639567879
100261,2010,1,1,,2.0,4.0,49.0,15.0,,1.0,48.125,55.0
100261,2012,1,1,,2.0,6.0,78.0,15.0,,1.0,54.381004333496094,64.16666412353516
100261,2024,1,1,1.0,2.0,18.0,,15.0,15101.0,,87.47720887752973,87.47720887752973
100271,2010,1,1,,1.0,4.0,49.0,15.0,,1.0,48.125,55.0
100271,2012,1,1,,1.0,6.0,75.0,15.0,,1.0,62.3760871887207,64.16666412353516
100271,2017,1,1,1.0,1.0,11.0,142.0,15.0,15101.0,,77.0,79.0
100271,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,73.43291355623691,73.43291355623691
100291,2010,1,0,,2.0,4.0,,15.0,,1.0,48.125,
100291,2012,1,1,,2.0,6.0,75.0,15.0,,1.0,56.4496955871582,64.16666412353516
100291,2017,1,1,1.0,2.0,11.0,141.0,15.0,15101.0,,77.0,79.0
100291,2024,1,1,1.0,2.0,18.0,,15.0,15101.0,,80.92640281651032,80.92640281651032
100301,2010,1,1,,1.0,4.0,48.0,15.0,,1.0,48.125,55.0
100301,2012,1,1,,1.0,6.0,74.0,15.0,,1.0,53.35859298706055,64.16666412353516
100301,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,79.17268374715349,79.17268374715349
100331,2010,1,1,,2.0,3.0,48.0,15.0,,1.0,48.125,55.0
100361,2010,1,1,,1.0,3.0,47.0,15.0,,1.0,48.125,55.0
100361,2012,1,1,,1.0,6.0,73.0,15.0,,1.0,54.381004333496094,64.16666412353516
100361,2017,1,1,1.0,1.0,11.0,139.0,15.0,15101.0,,77.0,79.0
100361,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,74.05615656353417,74.05615656353417
100371,2010,1,1,,1.0,3.0,48.0,15.0,,1.0,48.125,55.0
100371,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,87.97692947873682,87.97692947873682
100391,2010,1,0,,1.0,3.0,,15.0,,1.0,48.125,
100391,2012,1,1,,1.0,6.0,74.0,15.0,,1.0,62.3760871887207,64.16666412353516
100391,2017,1,1,1.0,1.0,11.0,139.0,15.0,15101.0,,77.0,79.0
100391,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,73.43291355623691,73.43291355623691
100401,2010,1,1,,2.0,3.0,47.0,15.0,,1.0,48.125,55.0
100401,2012,1,1,,2.0,6.0,75.0,15.0,,1.0,56.4496955871582,64.16666412353516
100401,2017,1,1,1.0,2.0,11.0,143.0,15.0,15101.0,,77.0,79.0
100401,2024,1,1,1.0,2.0,18.0,,15.0,15101.0,,81.82400254441592,81.82400254441592
100411,2010,1,1,,2.0,3.0,47.0,15.0,,1.0,48.125,55.0
100411,2012,1,1,,2.0,6.0,77.0,15.0,,1.0,53.35859298706055,64.16666412353516
100411,2017,1,1,0.0,2.0,11.0,141.0,15.0,15101.0,,77.0,79.0
100411,2024,1,1,1.0,2.0,18.0,,15.0,15101.0,,76.7831149158616,76.7831149158616
100431,2010,1,1,,1.0,3.0,47.0,15.0,,1.0,48.125,55.0
100431,2012,1,0,,1.0,6.0,,15.0,,1.0,62.3760871887207,
100431,2024,1,1,1.0,1.0,18.0,,1.0,1101.0,,118.52713697007492,118.52713697007492
100461,2010,1,1,,1.0,3.0,46.0,15.0,,1.0,48.125,55.0
100461,2012,1,1,,1.0,5.0,76.0,15.0,,1.0,54.02661895751953,64.16666412353516
100461,2017,1,1,0.0,1.0,11.0,144.0,15.0,15101.0,,77.0,79.0
100461,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,73.43291355623691,73.43291355623691
100471,2010,1,1,,1.0,3.0,47.0,15.0,,1.0,48.125,55.0
100471,2012,1,0,,1.0,6.0,,15.0,,1.0,62.3760871887207,
100471,2017,1,1,1.0,1.0,11.0,143.0,15.0,15101.0,,77.0,79.0
100471,2024,1,1,1.0,1.0,18.0,,15.0,15101.0,,73.24376919657445,73.24376919657445
100481,2010,1,1,,2.0,3.0,47.0,15.0,,1.0,48.125,55.0
100481,2012,1,1,,2.0,6.0,73.0,15.0,,1.0,54.381004333496094,64.16666412353516
100481,2024,1,1,1.0,2.0,18.0,,15.0,15101.0,,81.82400254441592,81.82400254441592
100491,2010,1,1,,1.0,3.0,46.0,15.0,,1.0,48.125,55.0
100491,2012,1,0,,1.0,6.0,,15.0,,1.0,55.88779830932617,
100491,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,82.24334647889334,82.24334647889334
100511,2010,1,1,,2.0,3.0,47.0,15.0,,1.0,48.125,55.0
100511,2012,1,1,,2.0,5.0,72.0,15.0,,1.0,55.88779830932617,64.16666412353516
100511,2017,1,1,1.0,2.0,11.0,141.0,15.0,15101.0,,77.0,79.0
100531,2010,1,1,,2.0,3.0,45.0,15.0,,1.0,48.125,55.0
100531,2012,1,1,,2.0,6.0,76.0,15.0,,1.0,55.88779830932617,64.16666412353516
100531,2017,1,1,1.0,2.0,11.0,141.0,15.0,15101.0,,77.0,79.0
100531,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,81.1353867725303,81.1353867725303
100541,2010,1,1,,1.0,3.0,45.0,15.0,,1.0,48.125,55.0
100541,2012,1,1,,1.0,5.0,75.0,15.0,,1.0,56.4496955871582,64.16666412353516
100541,2017,1,1,1.0,1.0,11.0,138.0,15.0,15101.0,,77.0,79.0
100551,2010,1,1,,2.0,3.0,46.0,15.0,,1.0,48.125,55.0
100551,2012,1,1,,2.0,6.0,73.0,15.0,,1.0,56.4496955871582,64.16666412353516
100551,2017,1,1,1.0,2.0,11.0,137.0,15.0,15101.0,,77.0,79.0
100551,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,79.05522088373205,79.05522088373205
100561,2010,1,1,,2.0,3.0,45.0,15.0,,1.0,48.125,55.0
100561,2012,1,1,,2.0,5.0,71.0,15.0,,1.0,62.3760871887207,64.16666412353516
100561,2017,1,1,1.0,2.0,11.0,137.0,15.0,15101.0,,77.0,79.0
100561,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,79.05522088373205,79.05522088373205
100571,2010,1,1,,1.0,3.0,45.0,15.0,,1.0,48.125,55.0
100591,2010,1,1,,1.0,3.0,44.0,15.0,,1.0,48.125,55.0
100591,2012,1,1,,1.0,5.0,70.0,15.0,,1.0,56.4496955871582,64.16666412353516
100591,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,73.24376919657445,73.24376919657445
100611,2010,1,1,,2.0,3.0,46.0,15.0,,1.0,48.125,55.0
100611,2012,1,1,,2.0,5.0,71.0,15.0,,1.0,56.4496955871582,64.16666412353516
100611,2017,1,1,1.0,2.0,11.0,139.0,15.0,15101.0,,77.0,79.0
100621,2010,1,1,,1.0,3.0,46.0,15.0,,1.0,48.125,55.0
100621,2017,1,1,1.0,1.0,11.0,139.0,15.0,15101.0,,77.0,79.0
100641,2010,1,1,,1.0,3.0,43.0,15.0,,1.0,48.125,55.0
100651,2010,1,0,,1.0,3.0,,15.0,,1.0,48.125,
100651,2017,1,1,1.0,1.0,11.0,139.0,15.0,15101.0,,77.0,79.0
100661,2010,1,1,,1.0,3.0,45.0,15.0,,1.0,48.125,55.0
100661,2012,1,1,,1.0,5.0,71.0,15.0,,1.0,54.381004333496094,64.16666412353516
100661,2017,1,1,1.0,1.0,11.0,141.0,15.0,15101.0,,77.0,79.0
100661,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,73.24376919657445,73.24376919657445
100681,2010,1,1,,2.0,3.0,45.0,15.0,,1.0,48.125,55.0
100681,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,87.25795322261747,87.25795322261747
100691,2010,1,1,,1.0,3.0,45.0,15.0,,1.0,48.125,55.0
100691,2012,1,0,,1.0,5.0,,15.0,,1.0,54.381004333496094,
100691,2017,1,1,1.0,1.0,11.0,139.0,15.0,15101.0,,77.0,79.0
100691,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,71.55022527469818,71.55022527469818
100701,2010,1,1,,2.0,3.0,44.0,15.0,,1.0,48.125,55.0
