geo,pesos,aff_cut,xmode,score
idcomuna,eva,24131,dummy,0.5252795161351164
idcomuna,eva,24131,drop,0.5522227373158833
idcomuna,eva,24130,dummy,0.5682374093524903
idcomuna,eva,24130,drop,0.5972173087562744
idcomuna,none,24130,dummy,0.6091502901952509
estrato,none,24131,dummy,0.6452040874402667
estrato,eva,24131,dummy,0.645984272619841
estrato,eva,24131,drop,0.6559056425014117
idcomuna,none,24130,drop,0.6674173386492851
estrato_fb,eva,24131,drop,0.6872406185346634
idcomuna,none,24131,dummy,0.6881775302153326
estrato,none,24131,drop,0.6938173248134373
estrato,none,24130,dummy,0.7024903673166246
estrato,eva,24130,dummy,0.7275563008472612
estrato_fb,none,24131,drop,0.7294953817312245
estrato,eva,24130,drop,0.7384936293153777
estrato_fb,none,24131,dummy,0.7466370686442476
idcomuna,none,24131,drop,0.7469364427612987
estrato_fb,eva,24131,dummy,0.7473528494429202
estrato,none,24130,drop,0.7507684849974351
estrato_fb,eva,24130,drop,0.7653332763896836
estrato_fb,none,24130,drop,0.7814159861566404
estrato_fb,none,24130,dummy,0.7967150713731658
estrato_fb,eva,24130,dummy,0.8220726791660876
